city,city_country,station_id,latitude,longitude,elevation,annual_avg_temp_c,annual_min_temp_c,annual_max_temp_c,annual_extreme_min_c,annual_extreme_max_c,annual_precip_mm,annual_avg_pres_hpa,annual_total_sun_h,annual_avg_daily_sun_h,avg_comfort_index,best_comfort_index,best_comfort_month,wet_month_count,cold_month_count,hot_month_count,years_of_data,data_coverage_pct
Aswan,Egypt,62414,23.9667,32.7833,200,27.63,7.8,44.5,4.6,47.7,25.0,1011.36,14654.0,10.73,8.26,10.0,1,4,0,88,14,100.0
Atlanta,United States,KFTY0,33.7791,-84.5214,256,17.1,-4.2,33.4,-14.4,39.4,0.0,1017.99,0.0,,7.88,9.97,9,0,39,0,14,100.0
Auckland,New Zealand,93110,-37.0,174.8,7,16.09,6.9,26.4,0.9,29.8,15360.1,1016.68,0.0,,7.76,9.84,1,79,0,0,14,100.0
Austin,United States,72254,30.3167,-97.7667,201,21.57,2.9,40.5,-17.1,44.4,12629.0,1016.12,0.0,,7.75,9.92,10,83,6,47,14,100.0
Avarua,Cook Islands,91843,-21.2,-159.8167,7,24.75,18.0,31.6,11.9,34.9,21728.2,1014.0,5911.0,6.48,8.76,10.0,2,76,0,0,14,100.0
Ayers Rock,Australia,94462,-25.2,131.0,493,22.67,1.0,42.4,-3.5,47.1,3123.6,1015.02,0.0,,8.27,9.87,4,70,0,10,14,21.6
Azores,Portugal,08512,37.7333,-25.7,71,17.57,11.3,26.5,6.3,34.3,12980.0,1021.91,16526.0,6.09,8.93,10.0,7,84,0,0,14,100.0
Baku,Azerbaijan,37864,40.45,50.0667,-6,15.77,-1.4,35.0,-8.6,42.0,320.8,1016.19,0.0,,7.39,9.97,9,9,56,8,14,100.0
Baltimore,United States,KDMH0,39.2833,-76.6167,6,15.13,-6.8,35.1,-13.3,41.7,9787.1,1017.24,0.0,,6.96,9.97,9,50,56,6,14,100.0
Bandung,Indonesia,96791,-6.75,108.2667,50,27.66,21.9,37.7,18.0,39.4,37549.0,1010.32,26306.0,5.2,8.66,10.0,7,84,0,41,14,100.0
Banff,Canada,71122,51.19,-115.55,1397,2.97,-25.1,27.3,-41.5,37.8,5710.1,1016.58,0.0,,4.16,8.73,7,84,116,0,14,100.0
Bangkok,Thailand,48455,13.7333,100.5667,2,29.12,20.9,37.6,14.8,41.0,25607.5,1009.23,25150.0,5.68,8.53,10.0,2,83,0,140,14,100.0
Banjul,Gambia,61701,13.35,-16.8,36,26.33,16.5,38.5,2.0,44.4,12994.6,1011.35,16467.0,7.74,8.89,10.0,2,69,0,17,14,100.0
Barcelona,Spain,08181,41.2833,2.0667,4,17.35,1.9,32.6,-3.5,37.4,7330.0,1016.78,17677.0,6.17,8.54,10.0,4,83,16,1,14,100.0
Bariloche,Argentina,87765,-41.15,-71.1667,845,8.76,-3.3,26.4,-25.4,35.4,10228.5,1015.57,12179.0,7.16,6.37,10.0,1,84,99,0,14,100.0
Basseterre,Saint Kitts and Nevis,78873,17.4833,-62.9833,38,27.01,22.4,32.1,16.7,33.5,4084.7,1015.75,0.0,,8.26,9.19,1,17,0,26,8,100.0
